"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"CYR61",0,0.937419305574206,0.709,0.196,0,"0","CYR61",0.513
"PALLD",0,0.935162513669619,0.822,0.17,0,"0","PALLD",0.652
"SERPINH1",0,0.934033601292269,0.898,0.283,0,"0","SERPINH1",0.615
"SERPING1",0,0.923888510372657,0.823,0.284,0,"0","SERPING1",0.539
"PLAT",0,0.917942864649422,0.625,0.085,0,"0","PLAT",0.54
"CD63",0,0.915719646424816,0.993,0.787,0,"0","CD63",0.206
"SULF2",0,0.909220205471377,0.805,0.165,0,"0","SULF2",0.64
"CD55",0,0.907808011773081,0.801,0.313,0,"0","CD55",0.488
"BGN",0,0.904355934177574,0.664,0.095,0,"0","BGN",0.569
"LAPTM4A",0,0.904269387875254,0.98,0.537,0,"0","LAPTM4A",0.443
"GSTM3",0,0.901904407916464,0.828,0.205,0,"0","GSTM3",0.623
"EFEMP2",0,0.900067932520541,0.854,0.189,0,"0","EFEMP2",0.665
"LAMA4",0,0.893207775512863,0.79,0.127,0,"0","LAMA4",0.663
"NBL1",0,0.891180400030883,0.831,0.222,0,"0","NBL1",0.609
"VIM",0,0.88533291291302,0.998,0.884,0,"0","VIM",0.114
"COL12A1",0,0.882662018305807,0.741,0.103,0,"0","COL12A1",0.638
"DPYSL3",0,0.875239186711001,0.833,0.174,0,"0","DPYSL3",0.659
"QSOX1",0,0.871879368008815,0.753,0.256,0,"0","QSOX1",0.497
"MMP23B",0,0.869924038468206,0.659,0.083,0,"0","MMP23B",0.576
"CAV1",0,0.866902227814326,0.735,0.231,0,"0","CAV1",0.504
"LAMB1",0,0.863341184021466,0.771,0.128,0,"0","LAMB1",0.643
"VCAN",0,0.860041382239477,0.334,0.082,0,"0","VCAN",0.252
"MEG8",0,0.85835092490886,0.613,0.076,0,"0","MEG8",0.537
"IGFBP5",0,0.854848056808038,0.771,0.217,0,"0","IGFBP5",0.554
"LGALS3BP",0,0.845413057650042,0.936,0.352,0,"0","LGALS3BP",0.584
"LRP1",0,0.840735276340524,0.921,0.245,0,"0","LRP1",0.676
"LGALS1",0,0.836468493521817,0.992,0.736,0,"0","LGALS1",0.256
"TNXB",0,0.820903866584212,0.538,0.081,0,"0","TNXB",0.457
"COL11A1",0,0.816542925721945,0.265,0.039,0,"0","COL11A1",0.226
"GREB1",0,0.81498605609279,0.701,0.116,0,"0","GREB1",0.585
"NID2",0,0.813541640653589,0.661,0.077,0,"0","NID2",0.584
"HTRA3",0,0.811698196595663,0.575,0.08,0,"0","HTRA3",0.495
"TMEM176A",0,0.806635323805802,0.631,0.142,0,"0","TMEM176A",0.489
"COL14A1",0,0.800234330946021,0.605,0.071,0,"0","COL14A1",0.534
"IFITM3",0,0.792859093895783,0.986,0.57,0,"0","IFITM3",0.416
"MATN2",0,0.792059647030311,0.703,0.144,0,"0","MATN2",0.559
"NR2F2",0,0.790831606119804,0.924,0.271,0,"0","NR2F2",0.653
"THBS2",0,0.786290094948738,0.586,0.058,0,"0","THBS2",0.528
"BEX3",0,0.785845192258804,0.957,0.341,0,"0","BEX3",0.616
"SERPINE1",0,0.785392022426495,0.417,0.071,0,"0","SERPINE1",0.346
"CXCL12",0,0.779058857011465,0.665,0.083,0,"0","CXCL12",0.582
"RCN1",0,0.77731573968883,0.864,0.282,0,"0","RCN1",0.582
