"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"RAI14",7.10754993565413e-27,0.564581602518174,0.625,0.499,1.58740020262899e-22,"Epithelial_C3","RAI14",0.126
"PJA2",1.20119777439238e-26,0.525255647076588,0.582,0.46,2.68275510932795e-22,"Epithelial_C3","PJA2",0.122
"ARFGAP3",1.83105287407826e-26,0.538002160518517,0.588,0.487,4.08947348896638e-22,"Epithelial_C3","ARFGAP3",0.101
"CASK",2.1118877174152e-26,0.504905315642177,0.545,0.405,4.7166900280751e-22,"Epithelial_C3","CASK",0.14
"IER3",3.56820482249712e-26,1.13921764979706,0.793,0.748,7.96922865056506e-22,"Epithelial_C3","IER3",0.045
"CALU",5.26899188445987e-26,0.550443185551504,0.761,0.771,1.17677664747527e-21,"Epithelial_C3","CALU",-0.01
"SERINC1",6.50645558418571e-26,0.512598768687957,0.641,0.558,1.45315179017204e-21,"Epithelial_C3","SERINC1",0.083
"LXN",1.46681590130216e-25,0.540748821825308,0.468,0.297,3.27598663396825e-21,"Epithelial_C3","LXN",0.171
"SNX9",1.10775983814555e-24,0.537777459218749,0.532,0.397,2.47407082251427e-20,"Epithelial_C3","SNX9",0.135
"DST",4.44766773185255e-24,0.60737147156013,0.529,0.383,9.93342111231948e-20,"Epithelial_C3","DST",0.146
"CYTOR",4.57800654002766e-24,0.532792062897713,0.543,0.411,1.02245198064978e-19,"Epithelial_C3","CYTOR",0.132
"FAM129B",1.16691633952683e-23,0.556723507539661,0.622,0.524,2.60619095269922e-19,"Epithelial_C3","FAM129B",0.098
"CTSB",2.88422093760275e-23,0.559246077194274,0.848,0.86,6.44161904204197e-19,"Epithelial_C3","CTSB",-0.012
"HMOX1",4.16556332887595e-23,0.525132650349328,0.282,0.111,9.30336913871155e-19,"Epithelial_C3","HMOX1",0.171
"ZNF395",1.6818073526594e-22,0.536075273335469,0.521,0.385,3.7561485414295e-18,"Epithelial_C3","ZNF395",0.136
"SLC3A2",2.37464746198053e-22,0.539406506417847,0.811,0.807,5.30353764158732e-18,"Epithelial_C3","SLC3A2",0.004
"RGS16",2.41092392935556e-22,0.780632959324778,0.34,0.162,5.38455750382271e-18,"Epithelial_C3","RGS16",0.178
"ABL2",9.89926540648278e-22,0.5373897554523,0.463,0.315,2.21090193588386e-17,"Epithelial_C3","ABL2",0.148
"NAMPT",4.12382652935458e-21,0.545202094457572,0.771,0.753,9.21015417066052e-17,"Epithelial_C3","NAMPT",0.018
"ANKRD28",8.79121023975118e-21,0.5651122272254,0.521,0.412,1.96342889494603e-16,"Epithelial_C3","ANKRD28",0.109
"PLAU",1.14172239671396e-20,0.805943831503947,0.37,0.2,2.54992280082097e-16,"Epithelial_C3","PLAU",0.17
"IGFBP3",4.05305635047203e-20,0.64173108316395,0.543,0.336,9.05209605314423e-16,"Epithelial_C3","IGFBP3",0.207
"SMYD3",9.6249601171478e-20,0.658631628681778,0.473,0.359,2.14963859256379e-15,"Epithelial_C3","SMYD3",0.114
"ICAM1",7.96579380216758e-19,0.503042032760975,0.521,0.349,1.77908038777611e-14,"Epithelial_C3","ICAM1",0.172
"RGS3",3.67839559770167e-18,0.54608130392332,0.415,0.278,8.21532872790691e-14,"Epithelial_C3","RGS3",0.137
"CERCAM",1.42205770701178e-17,0.522519826621579,0.479,0.384,3.17602368284011e-13,"Epithelial_C3","CERCAM",0.095
"RCAN1",6.20823414673866e-16,0.509933223222824,0.335,0.194,1.38654701433261e-11,"Epithelial_C3","RCAN1",0.141
"ID2",6.9593565918044e-16,0.569935195681676,0.58,0.498,1.5543027012136e-11,"Epithelial_C3","ID2",0.082
"DUSP6",1.63231773900433e-12,0.505573472829147,0.527,0.432,3.64561843829226e-08,"Epithelial_C3","DUSP6",0.095
"FBLN1",3.06896437578465e-12,0.645529404081935,0.436,0.362,6.85422503687743e-08,"Epithelial_C3","FBLN1",0.074
"NINJ1",3.82626859081588e-08,0.50565524275944,0.5,0.511,0.000854558827072819,"Epithelial_C3","NINJ1",-0.011
"NMB",6.93515794000571e-08,0.968756239353508,0.524,0.528,0.00154889817432088,"Epithelial_C3","NMB",-0.004
